story_id,prediction,rationale
101,1,"Model predicted Consistent (Score: 1.06). Retrieved Evidence from The Count of Monte Cristo: 'society, that his protector thus employs the collective form? He was, if I recollect, arrested in a tavern, in company with a great many others.” Then he added, “Monsieur, you may rest assured I shall...'"
91,0,"Model predicted Contradiction (Score: 0.01). Retrieved Evidence from The Count of Monte Cristo: 'interfere, unless he acted with the greatest prudence, with his own career, Gérard de Villefort was as happy as a man could be. Already rich, he held a high official situation, though only twenty-seve...'"
24,1,"Model predicted Consistent (Score: 1.04). Retrieved Evidence from In Search of the Castaways: 'in our search for the sailors of the Britannia?"" The quartermaster did not answer immediately; he seemed to hesitate for a few moments, but finally, after reflecting, said: ""Yes, my lord, I will follo...'"
119,1,"Model predicted Consistent (Score: 0.90). Retrieved Evidence from The Count of Monte Cristo: 'his shoulder to a spacious crypt, hollowed out of the rock, the lights from which shone into the passage through the large arched openings. “Fine spoil, captain, fine spoil!” said Peppino in Italian, ...'"
93,0,"Model predicted Contradiction (Score: -0.01). Retrieved Evidence from The Count of Monte Cristo: 'into a dark closet, broke the cane into small bits and flung it in the fire, put on his travelling-cap, and calling his valet, checked with a look the thousand questions he was ready to ask, paid his ...'"
72,1,"Model predicted Consistent (Score: 1.04). Retrieved Evidence from In Search of the Castaways: 'of the Britannia, now chief of a band of convicts."" The major's explanation was accepted as conclusive. ""Now,"" replied Glenarvan, ""will you tell me how and why Harry Grant's quartermaster is in Austra...'"
16,1,"Model predicted Consistent (Score: 1.04). Retrieved Evidence from In Search of the Castaways: 'the Scotia, in which I had engaged cabin number six at Paris. The night was dark. I saw no one on board. Feeling fatigued by thirty hours of travel, and knowing that a good way to avoid sea-sickness i...'"
30,1,"Model predicted Consistent (Score: 1.08). Retrieved Evidence from In Search of the Castaways: 'after receiving the gold medal of the Royal Geographical Society, and returning to his native Scotland, he died on the 5th of June, 1866. [Illustration: He beheld the waters of the Indian Ocean, and p...'"
97,1,"Model predicted Consistent (Score: 0.97). Retrieved Evidence from The Count of Monte Cristo: 'followed the direction and saw that they were fixed on a bottle containing the mixture which he took every morning. “Ah, indeed?” said d’Avrigny, struck with a sudden thought, “has it occurred to you”...'"
22,0,"Model predicted Contradiction (Score: 0.02). Retrieved Evidence from In Search of the Castaways: '[Sidenote: RAISING A REGIMENT.] He then entered into conversation with the commander. Glenarvan would gladly have put in a word in regard to his affairs, but the soldier was telling his story, and was...'"
53,1,"Model predicted Consistent (Score: 1.02). Retrieved Evidence from In Search of the Castaways: 'and Nivarota Rivers, into which the waters of the plain usually flow, must have mingled together in one broad stream. An extremely rapid advance, therefore, became necessary. The common safety was at ...'"
58,1,"Model predicted Consistent (Score: 1.04). Retrieved Evidence from In Search of the Castaways: 'was one of the most confident on board; but his confidence proceeded especially from the desire that he cherished so strongly at heart, of seeing Miss Mary happy and consoled. He was particularly inte...'"
81,1,"Model predicted Consistent (Score: 0.98). Retrieved Evidence from In Search of the Castaways: 'the frontiers, the native wore a splendid cloak, decorated with red arabesques, made of the skin of a guanaco, its silky fur turned outward, and sewed with ostrich-tendons. Under his cloak a tippet of...'"
47,1,"Model predicted Consistent (Score: 1.08). Retrieved Evidence from In Search of the Castaways: 'be accomplished then!"" replied Thalcave, with a certain solemnity. ""We will go to the east, and, if necessary, even to the sun."" Paganel, in his exultation over his pupil, immediately translated to hi...'"
7,0,"Model predicted Contradiction (Score: 0.01). Retrieved Evidence from In Search of the Castaways: 'except the major's rifle, were swept away with the fragments of the raft. [Sidenote: A WEARY PILGRIMAGE.] The river was crossed, but the little party were without resources, thirty-five miles from Del...'"
121,0,"Model predicted Contradiction (Score: -0.01). Retrieved Evidence from The Count of Monte Cristo: 'port of Marseilles, and anchored exactly opposite the spot from whence, on the never-to-be-forgotten night of his departure for the Château d’If, he had been put on board the boat destined to convey h...'"
129,1,"Model predicted Consistent (Score: 0.96). Retrieved Evidence from The Count of Monte Cristo: 'of his strongly marked features, betokened a man more accustomed to exercise his mental faculties than his physical strength. Large drops of perspiration were now standing on his brow, while the garme...'"
51,1,"Model predicted Consistent (Score: 1.02). Retrieved Evidence from In Search of the Castaways: 'that were now redoubled. Glenarvan gazed at him with a dark foreboding. ""He is leaving us!"" cried he, seeing Thalcave gather up his reins as though he were about to mount. ""He? never!"" said Robert. In...'"
127,0,"Model predicted Contradiction (Score: -0.01). Retrieved Evidence from The Count of Monte Cristo: 'ten weary years.” Dantès took some louis from his pocket, and gave them to the man who had twice unconsciously pitied him. The guide took them, thinking them merely a few pieces of little value; but t...'"
133,0,"Model predicted Contradiction (Score: -0.01). Retrieved Evidence from The Count of Monte Cristo: 'will know as much as I do myself. Now, it will scarcely require two years for me to communicate to you the stock of learning I possess.” “Two years!” exclaimed Dantès; “do you really believe I can acq...'"
52,1,"Model predicted Consistent (Score: 1.09). Retrieved Evidence from In Search of the Castaways: 'with whom he would have passed for a dwarf. He overwhelmed the grave Indian with Spanish phrases, to which the latter quietly listened. The geographer studied this time without a book, and was often h...'"
114,0,"Model predicted Contradiction (Score: 0.02). Retrieved Evidence from The Count of Monte Cristo: 'has studied these national phenomena very profoundly.” “It is quite frightful, but deeply interesting,” said the young lady, motionless with attention. “I thought, I must confess, that these tales, we...'"
2,1,"Model predicted Consistent (Score: 1.04). Retrieved Evidence from In Search of the Castaways: 'of the state of affairs, and was only too glad to use his diligently-acquired knowledge. [Sidenote: SOMETHING WRONG.] ""Exactly,"" said he. And opening his mouth widely in order to articulate better, he...'"
33,1,"Model predicted Consistent (Score: 1.06). Retrieved Evidence from In Search of the Castaways: 'in our search for the sailors of the Britannia?"" The quartermaster did not answer immediately; he seemed to hesitate for a few moments, but finally, after reflecting, said: ""Yes, my lord, I will follo...'"
15,1,"Model predicted Consistent (Score: 1.08). Retrieved Evidence from In Search of the Castaways: 'his hand upon his head. He examined the child and felt his wounded limbs. Then, smiling, he went and gathered on the banks of the stream a few handfuls of wild celery, with which he rubbed the boy's b...'"
82,0,Model predicted Contradiction (Score: 0.50). Retrieved Evidence from In Search of the Castaways: 'No matching evidence found in source text....'
37,1,"Model predicted Consistent (Score: 1.05). Retrieved Evidence from In Search of the Castaways: 'after receiving the gold medal of the Royal Geographical Society, and returning to his native Scotland, he died on the 5th of June, 1866. [Illustration: He beheld the waters of the Indian Ocean, and p...'"
3,0,"Model predicted Contradiction (Score: 0.00). Retrieved Evidence from In Search of the Castaways: 'was past, the young girl began to ask innumerable questions. Lady Helena related the story of the document, how that the Britannia had been lost on the shores of Patagonia; in what way, after the ship...'"
103,1,"Model predicted Consistent (Score: 0.94). Retrieved Evidence from The Count of Monte Cristo: 'an excuse of M. Noirtier to prevent his granddaughter marrying; old men are always so selfish in their affection,” said Madame de Villefort. “But,” said Monte Cristo “do you not know any cause for thi...'"
94,1,"Model predicted Consistent (Score: 1.04). Retrieved Evidence from The Count of Monte Cristo: 'certain diseases, of which paralysis is one. For instance, having tried every other remedy to restore movement and speech to M. Noirtier, I resolved to try one last means, and for three months I have ...'"
85,1,"Model predicted Consistent (Score: 0.84). Retrieved Evidence from In Search of the Castaways: 'in his devotion. He has promised that he will make me a thorough and efficient sailor, and we shall seek our father together. Say that you are willing, sister. What our father would have done for us i...'"
21,1,"Model predicted Consistent (Score: 1.02). Retrieved Evidence from In Search of the Castaways: 'at mast-head. I tell you he is a boy who mocks sea-sickness. Only look at him!"" At a gesture of the captain, all eyes were turned towards the mainmast, and every one could perceive Robert, suspended b...'"
49,0,"Model predicted Contradiction (Score: -0.02). Retrieved Evidence from In Search of the Castaways: 'answers, but learnt that the European was a slave of one of the Indian tribes that scour the plains. ""But where was he last?"" asked Paganel. ""With the cazique Calfoucoura,"" answered Thalcave. ""On the ...'"
140,0,"Model predicted Contradiction (Score: 0.02). Retrieved Evidence from The Count of Monte Cristo: 'alienation; and then, relaxing his sentiment of pride, he addressed his supplications, not to God, but to man. God is always the last resource. Unfortunates, who ought to begin with God, do not have a...'"
64,1,"Model predicted Consistent (Score: 1.10). Retrieved Evidence from In Search of the Castaways: 'he still further diminished his numbers by leaving behind at an encampment several of his companions, that he and three others might press on towards the north with as little incumbrance as possible. ...'"
131,1,"Model predicted Consistent (Score: 1.00). Retrieved Evidence from The Count of Monte Cristo: 'Cavalcanti, a worthy patrician of Lucca, a descendant of the Cavalcanti of Florence,’” continued Monte Cristo, reading aloud, “‘possessing an income of half a million.’” Monte Cristo raised his eyes f...'"
61,1,"Model predicted Consistent (Score: 1.02). Retrieved Evidence from In Search of the Castaways: 'my duty to go, and his to remain with you."" Then, seizing Thaouka's bridle, he added,-- ""I will go."" ""No,"" replied the Patagonian, calmly. ""I tell you,"" cried Glenarvan, taking the bridle from the han...'"
86,1,"Model predicted Consistent (Score: 1.09). Retrieved Evidence from In Search of the Castaways: 'knew how matters stood on this point. The chief, whose name was ""Hihy"" (sunbeam), was not a bad man. The spectacles and telescope gave him a high opinion of Paganel, whom he attached carefully to his ...'"
38,0,Model predicted Contradiction (Score: 0.50). Retrieved Evidence from In Search of the Castaways: 'No matching evidence found in source text....'
132,0,"Model predicted Contradiction (Score: -0.01). Retrieved Evidence from The Count of Monte Cristo: 'will know as much as I do myself. Now, it will scarcely require two years for me to communicate to you the stock of learning I possess.” “Two years!” exclaimed Dantès; “do you really believe I can acq...'"
77,1,"Model predicted Consistent (Score: 1.04). Retrieved Evidence from In Search of the Castaways: 'said Glenarvan; and without seeking whence this providential shot had come, he rushed towards the condor. His companions closely followed him. [Illustration] [Sidenote: ""THE LOST IS FOUND.""] When they...'"
70,1,Model predicted Consistent (Score: 1.01). Retrieved Evidence from In Search of the Castaways: 'was deserted. Captain Mangles frequently stood on Wilson's shoulders and surveyed the fortification. No native was seen; only the sentinels guarded in turn at the door of their prison. But on the thir...'
115,1,"Model predicted Consistent (Score: 0.97). Retrieved Evidence from The Count of Monte Cristo: 'that; and how would you habituate yourself, for instance, or rather, how did you habituate yourself to it?” “Oh, very easily. Suppose you knew beforehand the poison that would be made use of against y...'"
78,1,"Model predicted Consistent (Score: 1.04). Retrieved Evidence from In Search of the Castaways: 'The boy was silent for a few moments, then continued: ""Kai-Koumou is speaking. The savages grow calm; they listen."" ""This chief,"" said the major, ""has evidently a personal interest in protecting us. H...'"
87,1,"Model predicted Consistent (Score: 1.13). Retrieved Evidence from The Count of Monte Cristo: 'them. I was born in No. 28, Rue de la Fontaine, in a room hung with red damask; my father took me in his arms, telling my mother I was dead, wrapped me in a napkin marked with an H and an N, and carri...'"
75,0,Model predicted Contradiction (Score: 0.50). Retrieved Evidence from In Search of the Castaways: 'No matching evidence found in source text....'
44,0,Model predicted Contradiction (Score: 0.50). Retrieved Evidence from In Search of the Castaways: 'No matching evidence found in source text....'
